Adjusted (in million USD),Original (in million USD),Painting,Image,Artist,Year,Date of sale,Rankat sale,Seller,Buyer,Auction house,Year_Clean,Price_Clean
$497.8,$450.3,Salvator Mundi,NA,Leonardo da Vinci,c. 1500,"November 15, 2017",1,Dmitry Rybolovlev,Badr bin Abdullah Al Saud[note 2],"Christie's, New York[19]",1500,497.8
~$343,~$300,Interchange,NA,Willem de Kooning,1955,September 2015,1,David Geffen Foundation,Kenneth C. Griffin,Private sale[20],1955,343
$301 +,$250 +[note 3],The Card Players,NA,Paul Cézanne,1892/93,April 2011,1,George Embiricos,State of Qatar,Private sale[21][22][23],1892,301
$240,$210[24],Nafea Faa Ipoipo(When Will You Marry?),NA,Paul Gauguin,1892,September 2014,2,Rudolf Staechelin heirs,State of Qatar,Private sale[25],1892,240
~$229,~$200,Number 17A,NA,Jackson Pollock,1948,September 2015,4,David Geffen Foundation,Kenneth C. Griffin,Private sale[20],1948,229
$213.8,$183.8,Wasserschlangen II,NA,Gustav Klimt,1904–07,2013,2,Yves Bouvier,Dmitry Rybolovlev,Private sale [note 4],1904,213.8
$213,$186(€140),"No. 6 (Violet, Green and Red)",NA,Mark Rothko,1951,August 2014,3,Cherise Moueix,Dmitry Rybolovlev,Private sale viaYves Bouvier[28],1951,213
$206,$180(€160 million),Pendant portraits of Maerten Soolmans and Oopjen Coppit,NA,Rembrandt,1634,"February 1, 2016[29]",7,Éric de Rothschild,Rijksmuseumand Louvre,Private sale[30],1634,206
$205,$179.4,"Les Femmes d'Alger(""Version O"")",NA,Pablo Picasso,1955,"May 11, 2015",5,Private collection,Hamad bin Jassim bin Jaber Al Thani[citation needed],"Christie's, New York[31]",1955,205
$198,$198(€175),The Standard Bearer,NA,Rembrandt,1636,February 2022,10,Rothschild family,Rijksmuseum,private sale[32][33],1636,198
$195,$195,Shot Sage Blue Marilyn,NA,Andy Warhol,1964,"May 9, 2022",11,Thomas and Doris Ammann,Larry Gagosian,"Christie's, New York[34]",1964,195
$194.8,$170.4,Nu couché,NA,Amedeo Modigliani,1917/18,"November 9, 2015",9,Laura Mattioli Rossi,Liu Yiqian[35],"Christie's, New York[36]",1917,194.8
$188.2,$140,"No. 5, 1948",NA,Jackson Pollock,1948,"November 2, 2006",1,David Geffen,David Martinez,Private sale via Sotheby's[37],1948,188.2
$184.8,$137.5,Woman III,NA,Willem de Kooning,1953,"November 18, 2006",2,David Geffen,Steven A. Cohen,Private sale via Larry Gagosian[38],1953,184.8
$182.4,$165.0,Masterpiece,NA,Roy Lichtenstein,1962,January 2017,12,Agnes Gund[39][40],Steven A. Cohen[41],Private sale,1962,182.4
$181.5,$135,Portrait of Adele Bloch-Bauer I,NA,Gustav Klimt,1907,"June 18, 2006",1,Maria Altmann,"Ronald Lauder, Neue Galerie",Private sale via Christie's[42],1907,181.5
$180.3,$155,Le Rêve,NA,Pablo Picasso,1932,"March 26, 2013",6,Steve Wynn,Steven A. Cohen,Private sale[43],1932,180.3
$171.1,$82.5,Portrait of Dr. Gachet,NA,Vincent van Gogh,1890,"May 15, 1990",1,Siegfried Kramarsky heirs,Ryoei Saito[note 5][46],"Christie's, New York",1890,171.1
$169.6,$157.2,Nu couché (sur le côté gauche),NA,Amedeo Modigliani,1917,"May 15, 2018",NA,Ezra and David Nahmad,,"Sotheby's, New York[47]",1917,169.6
$169.4,$150,Portrait of Adele Bloch-Bauer II,NA,Gustav Klimt,1912,2016,10,Oprah Winfrey[note 6],Unidentified buyer in China,Private sale via Larry Gagosian[48],1912,169.4
$165.7,$142.4,Three Studies of Lucian Freud,NA,Francis Bacon,1969,"November 12, 2013",8,[note 7],"Elaine Wynn, ex-wife of Steve Wynn[51]","Christie's, New York[52]",1969,165.7
$162,$78.1,Bal du moulin de la Galette[note 8],NA,Pierre-Auguste Renoir,1876,"May 17, 1990",2,Betsey Whitney,Ryoei Saito [note 9],"Sotheby's, New York",1876,162
$155.7,$140.8(¥931.5),Twelve Landscape Screens,NA,Qi Baishi,1925,"December 17, 2017",NA,,,Beijing Poly Auction[53],1925,155.7
$149.4,$104.2,Garçon à la pipe,NA,Pablo Picasso,1905,"May 5, 2004",3,Greentree Foundation(Whitney family),Guido Barilla (suspected)[54],"Sotheby's, New York[55]",1905,149.4
$149.2,$149.2,"Les Poseuses, Ensemble (Petite version)",NA,Georges Seurat,1888,"November 9, 2022",1,Paul G. Allen,,"Christie's, New York",1888,149.2
$141.5,$119.9,The Scream[note 10],NA,Edvard Munch,1895,"May 2, 2012",8,Petter Olsen,Leon Black[56],"Sotheby's, New York",1895,141.5
$139.6,$120,Otahi,NA,Paul Gauguin,1893,2013,10,Yves Bouvier,Dmitry Rybolovlev,Private sale [note 11],1893,139.6
$139,$118,Reclining Nude With Blue Cushion,NA,Amedeo Modigliani,1916,2012,8,Steven A. Cohen,Dmitry Rybolovlev,Private sale via Yves Bouvier[28],1916,139
$138,$137.7,La Montagne Sainte-Victoire,NA,Paul Cezanne,1888-90,"November 9, 2022",2,Paul G. Allen,,"Christie's, New York",1888,138
$136.7,$110.0,Flag[note 12],NA,Jasper Johns,1958,March 2010,7,Jean-Christophe Castelli,Steven A. Cohen,"Private sale, estimated price[58]",1958,136.7
$132.3,$106.5,"Nude, Green Leaves and Bust",NA,Pablo Picasso,1932,"May 4, 2010",9,Frances Lasker Brody estate,Leonard Blavatnik (suspected)[59][60],"Christie's, New York[61]",1932,132.3
$131.2,$58 plus exchange ofworks[note 13],Portrait of Joseph Roulin,NA,Vincent van Gogh,1889,"August 1, 1989",1,"Private collection, Zürich",Museum of Modern Art New York,"Private sale viaThomas Ammann,Fine Art Zurich[62]",1889,131.2
$128.6,$53.9,Irises,NA,Vincent van Gogh,1889,"November 11, 1987",1,"John Whitney Payson, son of Joan Whitney Payson",Alan Bond[note 14],"Sotheby's, New York",1889,128.6
$128,$95.2,Dora Maar au Chat,NA,Pablo Picasso,1941,"May 3, 2006",6,Gidwitz family,Boris Ivanishvili[63],"Sotheby's, New York[64]",1941,128
$125.9,$100.0,Eight Elvises,NA,Andy Warhol,1963,October 2008,10,Annibale Berlingieri,The State of Qatar (suspected)[65][66],Private sale via Philippe Ségalot[67],1963,125.9
$124.1,$115,Young Girl with a Flower Basket,NA,Pablo Picasso,1905,"May 8, 2018",NA,David and Peggy Rockefeller,The Nahmad family[68],"Christie's, New York[69]",1905,124.1
$123 +,"$105.7 +[note 15](¥10,300)",Anna's Light,NA,Barnett Newman,1968,"October 4, 2013",NA,DIC Corp.,,Private sale[70][71][72],1968,123
$122.7,$105.4,Silver Car Crash (Double Disaster),NA,Andy Warhol,1963,"November 13, 2013",NA,,,"Sotheby's, New York[73]",1963,122.7
$122.2,$110.5,Untitled,NA,Jean-Michel Basquiat,1982,"May 18, 2017",NA,Emily and Jerry Spiegel[74],Yusaku Maezawa[75],"Sotheby's, New York[76]",1982,122.2
$118.9,$71.5,Portrait de l'artiste sans barbe,NA,Vincent van Gogh,1889,"November 19, 1998",5,Jacques Koerfer [de] heirs,,"Christie's, New York",1889,118.9
$117.3,$110.7,Meules,NA,Claude Monet,1890,"May 14, 2019",NA,,Hasso Plattner[77],"Sotheby's, New York[78]",1890,117.3
$117.2,$117.1,Verger avec cyprès,NA,Vincent van Gogh,1888,"November 9, 2022",3,Paul G. Allen,,"Christie's, New York",1888,117.2
$116,$100,La Montagne Sainte-Victoire vue du bosquet du Château Noir,NA,Paul Cézanne,1904,2013[note 16],NA,Edsel and Eleanor Ford House,State of Qatar[79],Private sale[80][81],1904,116
$115.5,$76.7(£49.5),Massacre of the Innocents,NA,Peter Paul Rubens,1611,"July 10, 2002",6,an Austrian family,Kenneth Thomson[note 17],"Sotheby's, London",1611,115.5
$109,$95.4,Nurse,NA,Roy Lichtenstein,1964,"November 9, 2015",NA,,,"Christie's, New York[36]",1964,109
$108.6,$86.3,"Triptych, 1976",NA,Francis Bacon,1976,"May 14, 2008",NA,Jean-Pierre Moueix heirs[83],Roman Abramovich[84],"Sotheby's, New York[85]",1976,108.6
$105.7,$105.7,Maternitè II,NA,Paul Gauguin,1899,"November 09, 2022",4,Paul G. Allen,,"Chritie's, New York",1899,105.7
$104.5,$104.5,Birch Forest,NA,Gustav Klimt,1903,"November 09, 2022",5,Paul G. Allen,,"Chritie's, New York",1903,104.5
$103.4,$103.4,Femme assise près d’une fenêtre (Marie-Thérèse),NA,Pablo Picasso,1932,"May 13, 2021",NA,,,"Christie's, New York[86]",1932,103.4
$107.8,$49.3(F300),Les Noces de Pierrette,NA,Pablo Picasso,1905,"November 30, 1989",3,Fredrik Roos [sv][87],Tomonori Tsurumaki,Binoche et Godeau Paris,1905,107.8
$107.5,$80.0,False Start [de],NA,Jasper Johns,1959,"October 12, 2006",11,David Geffen,Kenneth C. Griffin,Private sale via Richard Gray[88],1959,107.5
$107,$85(€54),Te Fare,NA,Paul Gauguin,1892,June 2008,NA,Yves Bouvier,Dmitry Rybolovlev,Private sale [note 18],1892,107
$106.9,$57,A Wheatfield with Cypresses,NA,Vincent van Gogh,1889,May 1993,6,Emil Georg Bührle's son,Walter H. Annenberg[note 19],Private sale via Steven Mazoh,1889,106.9
$106,$100,Boy and Dog in a Johnnypump,NA,Jean-Michel Basquiat,1982,2020,NA,Peter Brant[90],Ken Griffin[91],Private sale[90],1982,106
$104.6,$47.8,"Yo, Picasso",NA,Pablo Picasso,1901,"May 9, 1989",2,Wendell Cherry,Stavros Niarchos,"Sotheby's, New York",1901,104.6
