data_id,treat,age,educ,black,hisp,marr,nodegree,re74,re75,re78
Dehejia-Wahba Sample,1,37,11,1,0,1,1,0.0,0.0,9930.046
Dehejia-Wahba Sample,1,22,9,0,1,0,1,0.0,0.0,3595.894
Dehejia-Wahba Sample,1,30,12,1,0,0,0,0.0,0.0,24909.45
Dehejia-Wahba Sample,1,27,11,1,0,0,1,0.0,0.0,7506.146
Dehejia-Wahba Sample,1,33,8,1,0,0,1,0.0,0.0,289.7899
Dehejia-Wahba Sample,1,22,9,1,0,0,1,0.0,0.0,4056.494
Dehejia-Wahba Sample,1,23,12,1,0,0,0,0.0,0.0,0.0
Dehejia-Wahba Sample,1,32,11,1,0,0,1,0.0,0.0,8472.158
Dehejia-Wahba Sample,1,22,16,1,0,0,0,0.0,0.0,2164.022
Dehejia-Wahba Sample,1,33,12,0,0,1,0,0.0,0.0,12418.07
Dehejia-Wahba Sample,1,19,9,1,0,0,1,0.0,0.0,8173.908
Dehejia-Wahba Sample,1,21,13,1,0,0,0,0.0,0.0,17094.64
Dehejia-Wahba Sample,1,18,8,1,0,0,1,0.0,0.0,0.0
Dehejia-Wahba Sample,1,27,10,1,0,1,1,0.0,0.0,18739.93
Dehejia-Wahba Sample,1,17,7,1,0,0,1,0.0,0.0,3023.879
Dehejia-Wahba Sample,1,19,10,1,0,0,1,0.0,0.0,3228.503
Dehejia-Wahba Sample,1,27,13,1,0,0,0,0.0,0.0,14581.86
Dehejia-Wahba Sample,1,23,10,1,0,0,1,0.0,0.0,7693.4
Dehejia-Wahba Sample,1,40,12,1,0,0,0,0.0,0.0,10804.32
Dehejia-Wahba Sample,1,26,12,1,0,0,0,0.0,0.0,10747.35
Dehejia-Wahba Sample,1,23,11,1,0,0,1,0.0,0.0,0.0
Dehejia-Wahba Sample,1,41,14,0,0,0,0,0.0,0.0,5149.501
Dehejia-Wahba Sample,1,38,9,0,0,0,1,0.0,0.0,6408.95
Dehejia-Wahba Sample,1,24,11,1,0,0,1,0.0,0.0,1991.4
Dehejia-Wahba Sample,1,18,10,1,0,0,1,0.0,0.0,11163.17
Dehejia-Wahba Sample,1,29,11,1,0,1,1,0.0,0.0,9642.999
Dehejia-Wahba Sample,1,25,11,1,0,0,1,0.0,0.0,9897.049
Dehejia-Wahba Sample,1,27,10,0,1,0,1,0.0,0.0,11142.87
Dehejia-Wahba Sample,1,17,10,1,0,0,1,0.0,0.0,16218.04
Dehejia-Wahba Sample,1,24,11,1,0,0,1,0.0,0.0,995.7002
Dehejia-Wahba Sample,1,17,10,1,0,0,1,0.0,0.0,0.0
