...1,Academic.level,Gender,Age,Total.Semesters,Background.in.Statistics,Background.in.R,Background.in.Academic.Writing,Expectations,Open.Questions
1,Master,Female,24,8,1,1,5,I expect to learn how to work with data and be able to use data to create thesis and make knowledge from data understandble. I expect to learn how to work with platforms like R and be able to adapt that kind of knowledge into other platforms.,NA
2,Bachelor,Female,22,5,2,1,5,HOW TO USE R TO ANALYZISE THE DATA OR REPLACE THE FUNCTION OF EXCEL TO SAVE MORE TIME,NA
3,Master,Male,37,32,4,4,3,"I expect insight into data wrangling, web scraping, how to handle geographical data and different forms of data vizualization",NA
4,Bachelor,Female,25,7,3,1,4,The techniques of R and how to visualize the data efficiently.,Nope. Everything’s good. Thanks!
5,Bachelor,Female,30,9,3,2,3,"I expect to gain a broad idea about data analysis in a different way, including graphs and numbers, and expand into the world of data",NA
6,Master,Female,33,1,3,1,4,How to utilize R for both descriptive and inferential analysis,NA
7,Bachelor,Male,22,2,1,1,4,"In political science, It is important to support the idea with proof which can be provide by data. In this regard, data science is not only the business of programming or business but also for academics. Therefore, I want to improve my qualifications in terms of academics.",NA
8,Master,Female,26,17,1,2,4,"Create easy to understand visuals from a data set, that still contain a lot of information, but illustrate a complex topic and gives key massages from the data set",NA
9,Master,Female,25,11,3,2,3,Learning about specific use cases of data analytics and deeper knowledge in R.,NA
10,Master,Female,23,7,1,1,3,Data analysis using R,NA
11,Master,Male,29,10,4,1,4,More knowledge of R and managing/analysing data using different applications,NA
12,Master,Male,26,1,2,1,3,"1- Learn some new tools & use of libraries
2- To get better at visualization
3- Get a deeper knowledge of statistics, interpretation & decision making.",NA
13,Master,Female,29,3,5,2,4,To learn the application of statistical concepts using R for real world concepts.,"I was late for enrollment and missed the first week of classes and announcements, can I continue with the classes as an enrolled student for this course?
"
14,Master,Male,24,2,2,1,2,To learn intermediate R programming language,The importance of R language in job market compared to python
15,Master,Male,22,8,3,1,3,"R, to acquire skills to write an empirical thesis",-
16,Master,Female,35,11,3,1,1,I am eager to expand my knowledge of R and apply its capabilities to real-world projects,NA
17,Master,Female,28,10,3,3,2,contents that are not usually taught when it comes to R in academic settings,NA
18,Bachelor,Female,21,9,2,1,4,I expect to learn a lot about R and about dealing with data and being able to see a bigger picture/trends/patterns within data.,NA
19,Master,Male,28,1,2,1,3,How to better extract and visualize data.,NA
20,Master,Female,23,10,2,1,3,"which ways of processing data with R are there, some basics how to do that",NA
21,Master,Male,23,8,2,1,3,"to learn R,  and hopefully become fluent in data and beyond",Will this course make us capable of getting a job or maybe an internship
22,Master,Male,25,9,3,1,3,Learn about the software,NA
23,Master,Female,22,3,4,3,4,Get Fluent in R,NA
24,Master,Male,23,8,3,1,4,To learn the basics of R and data,NA
25,Master,Female,35,11,2,1,1,"learning new methodologies for data analysis and visualization, as well as gaining insights into how to effectively communicate findings to stakeholders",NA
26,Master,Male,28,1,4,1,4,"Understand basic R syntax, learn how R can be used in data analytics, and experiment with R projects.",NA
27,Master,Male,27,1,4,3,3,I would like to broaden my knowledge about data science and improve my skills in R,NA
28,Master,Female,22,10,2,1,3,I want to learn how to use the R language and be able to use its basic tools,NA
29,Master,Male,23,8,4,2,4,"Gain hands-on data analysis skills (cleaning, visualization, etc.) using industry-standard software.
Develop a strong foundation in data analysis concepts (statistics, data types, etc.) and critical thinking for data-driven decisions.",NA
30,Master,Male,26,5,3,3,3,"I'm focusing on datascience courses this semester, mainly courses that will build my data-analysis skillset.",NA
31,Master,Female,23,10,3,3,2,"To conduct data analysis using R and to learn more advanced libraries and techniques, which will be beneficial for my future master's thesis.",NA
32,Master,Male,27,14,4,2,4,How to use R in practice for projects and papers,NA
