Term;Academic.level;Gender;Age;Total.Semesters;Background.in.Statistics;Background.in.R;Background.in.Academic.Writing;Expectations
SS 2020;Bachelor;Female;25;6;3;1;3;doing an empirical analysis with real life data using R programm, drawing graphs and right conclusions
SS 2020;Master;Male;25;2;3;1;4;I am enthusiastic about learning  analysis of data and how to make sense out of them using R.
SS 2020;Master;Female;24;2;3;3;5;I am really excited to learn academic writing using R, I think my previous knowledge in R would be more polished with this program. 
SS 2020;Bachelor;Female;31;4;3;1;4;I expect to learn how to read and interpret empirical studies through data retrieval, data preparation and data analysis. Writing the academic term paper will also provide useful experiences for my bachelor thesis later on. 
SS 2020;Bachelor;Female;20;6;4;4;4;I expect to improve my knowledge of doing an empirical analysis of questionaire data in R. I am going to write my bachelor thesis related to this sphere, so this seminar could help me gather more experience and prepare for my work. I suppose that the knowledge from this seminar will be useful for my future job.  
SS 2020;Master;Female;32;3;3;2;4;"Practice R on ""real"" data, learn to apply R to answer real research questions, gather experience with SOEP data, practice for my master thesis"
SS 2020;Master;Female;25;3;2;2;4;Getting to know the program
SS 2020;Master;Female;22;1;3;1;5;With an interest in the field of International Economics and academic writing skills gained over the course of my undergraduate studies yet no previous experience in using a statistical software for data analysis, I hope to learn about the R programming language as well as practice new tools and methods of statistical data analysis. In this sense, I treat this seminar as a fundamental preparation for writing an empirical Master thesis at a later stage of my studies.
SS 2020;Master;Female;26;5;3;1;5;Improving my empirical-scientific working skills by learning how to use statistical software
SS 2020;Bachelor;Female;32;4;2;1;1;I would like to get good grips of academic writing skills, learn how to analyse and work with data, get acquainted with research topics that can be done from the Microeconomics perspective and learn new interesting insights that the research will bring along.
SS 2020;Bachelor;Female;21;7;4;3;5;I would like to improve my knowledge in R, my data skills and my academic writing in English
SS 2020;Master;Male;34;2;5;2;5;Data Analysis using R
SS 2020;Bachelor;Male;25;8;3;2;2;I hope to improve my skills in using statical software and writing empirical papers
SS 2020;Master;Male;25;6;1;2;5;"Data preparation , visualization and data analysis. Moreover, learn academic and empirical research process. It will also prepare me for the masters thesis. Finally  I will have good command in R programming which is high in demand now."""
SS 2020;Master;Male;22;2;2;1;2;Expand my knowledge in Economics through practise 
SS 2020;Bachelor;Male;27;10;1;1;3;R & python programming language and advance preparation for my bachelor thesis  
SS 2020;Bachelor;Female;22;6;4;3;3;to learn more about empirical part on how to do/read analysis of the variable and be informed in financial analysis to learn more about R-programming 
SS 2020;Bachelor;Female;20;6;4;3;4;"I'm expecting to learn all the basic principles of this subject and how to apply this knowledge to real life situations and problems. Also the topic ""Happiness"" is very close to me, because i'm very interested in the process of human concsiousness and emotional vibrations and how they affect our lifes. I would really love to participate in this seminar. So pleased to hear fronm you."""
SS 2020;Bachelor;Female;21;6;2;2;1;I want to improve my R Studio knowledge and looking forward to work on a happines research and about market discrimination.
SS 2020;Bachelor;Female;29;4;3;1;3;I am looking forward to develop my skills into working with data, interpreting them and get as much as possible from this seminar.
SS 2020;Bachelor;Female;21;6;3;3;2;I want to improve my knowledge of using R, as well as how to construct an academic paper.
SS 2020;Bachelor;Male;24;6;3;3;3;I would like to dig in in to R Programming and Statistics to be able to write a coherent seminar work. The vision of the end Work will be a Practical Motivation for learning theese
SS 2020;Master;Male;27;6;4;4;3;I expect to improve my academic writing process for literary papers and to learn a lot about the evidence for some topic in labor economics!
SS 2020;Bachelor;Male;23;5;3;2;3;I want to learn more about economics and make the theory I learn real. I also find the topic hands-on Happiness and discrimination very intéressent. 
SS 2020;Bachelor;Female;23;6;2;1;3;Interesting facts and information regarding the topics of happiness and discrimination related and set into context with economics
WS 2020 2021;Master;Male;26;7;1;1;5;Data Analysis with r Programming 
WS 2020 2021;Master;Male;23;8;3;1;3;I would love to learn working with data and be able to implement that in my academic writings. I think this course would be interesting and beneficial for me. 
WS 2020 2021;Master;Female;24;9;3;1;3;Thanks to this seminar I expect to improve my academic writing skills which will help me write my thesis. Another thing I expect from this course is to become familiar with programming. I think this is a skill every future manager or business owner needs to have.
WS 2020 2021;Bachelor;Male;21;6;3;3;1;I really want to learn how to handle the data and to to construct graphs and relationships with them. Furthermore I want to practice my academic wrtitng skills and use them for my later thesis.
WS 2020 2021;Bachelor;Male;21;6;4;1;3;I expect to lern and perfect my data analysis and research skills.
WS 2020 2021;Master;Male;23;8;4;2;3;Deepen data modeling knowledge
WS 2020 2021;Master;Male;24;9;2;1;3;I would like to give my first step into the progrmming world in R
WS 2020 2021;Master;Female;27;12;3;3;5;New insights of assessing financial markets
WS 2020 2021;Bachelor;Female;26;6;4;3;3;My expectation is to deepen my knowledge in R and gain coding expirience
WS 2020 2021;Bachelor;Female;29;15;2;1;1;I would like to have an applied view into statistics especially to R, with a relation to questions of our daily life. I think statistics can be fun also for people who are not very into it. This course offers me the chance to learn those with an understandable and interesting relation. 
WS 2020 2021;Master;Female;26;11;3;1;5;Learn a software and a lifelong experience
WS 2020 2021;Master;Female;24;13;4;3;4;To further deepen my knowledge in R programming and practicing on my academic writing.
WS 2020 2021;Bachelor;Female;23;6;3;2;1;To get better at using R Studio and to practice academic writing 
WS 2020 2021;Master;Female;23;8;3;2;5;To gain an insight into data analytics and R programming, learn how to interpret and visualize data. 
WS 2020 2021;Bachelor;Male;25;9;1;1;1;how to learn to program in r and adding it in an acadamic work
WS 2020 2021;Bachelor;Male;27;9;3;2;3;Improve myself in Research, Acdemic Writing
WS 2020 2021;Master;Male;32;9;4;2;4;More knowledge and use of R working with Excel, big data and more academic writing in order to feel more confident and able for master thesis research.
WS 2020 2021;Master;Male;28;5;4;4;5;strengthen my R and analytical skills so I can apply in other fields 
WS 2020 2021;Master;Male;25;10;3;1;3;excel cool data analysis techniques while learning more about the seminar topic
WS 2020 2021;Master;Female;22;10;3;3;4;Improve my skills in R,  practise conducting research and writing empirical papers
WS 2020 2021;Bachelor;Female;32;5;2;1;1;Learn how to use R, analyse empirical data and write a seminar paper.
WS 2020 2021;Master;Male;24;10;4;3;3; 
WS 2020 2021;Master;Male;23;9;4;2;3;deepen knowledge in R
WS 2020 2021;Bachelor;Male;25;9;1;1;1;learn how to use  r / rstudio in an academic paper
WS 2020 2021;Bachelor;Female;22;7;2;1;1;92656
WS 2020 2021;Master;Female;28;14;2;1;4;Evolve my knowledge on statistics in a hands on manner and learn R programming
WS 2020 2021;Master;Male;25;13;3;1;3;Basics on programming and how to use R as well as further understanding in working with data
WS 2020 2021;Master;Male;42;6;4;1;4;Learn to implement statistical data through R Software
WS 2020 2021;Bachelor;Male;21;6;3;1;2;answered previously 
WS 2020 2021;Master;Male;23;9;4;3;3;I expect to improve my academic writing and my Skills in R
WS 2020 2021;Master;Male;25;13;3;2;3;I am really interested to learn the basics of a programming language and practical application of it. I also think data and working with data is a strong tool, that is not understood well enough and would like to learn more about that. 
WS 2020 2021;Master;Male;23;11;3;3;4;My all-time favourite question to answer 
SS 2021;Master;Female;23;11;4;2;4;How to work better with data and statistical software, I would really like to deepen my skills with regard to my Master's thesis 
SS 2021;Master;Female;26;5;3;3;4;My expectation after carefully studying the course description is that, I can nourish my Statistical knowledge and develop better R programming skills (as I have previous experience in both this sector). I am expecting good supervision in the completion of paper writing. Through my studies I have learned the importance of data science specially in this pandemic time. I really hope to get a chance to learn this course and thereby increase my knowledge by learning from professional.  
