"title","zip","city","lat","lon"
"Haema Blutspendezentrum Dresden-World Trade Center","01067","Dresden","51.04807","13.7238"
"Octapharma Plasmaspende Dresden","01067","Dresden","51.04932","13.73557"
"Haema Dresden Elbepark","01139","Dresden","51.08232","13.696"
"DRK-Blutspendedienst Dresden","01307","Dresden","51.05294","13.78027"
"Haema Blutspendezentrum Dresden-Fetscherplatz","01307","Dresden","51.04654","13.77047"
"Haema Blutspendezentrum Görlitz","02826","Görlitz","51.15275","14.98878"
"DRK-Blutspendedienst Görlitz","02828","Görlitz","51.15986","14.97332"
"Octapharma Plasmaspende Cottbus","03046","Cottbus","51.75628","14.33277"
"DRK-Blut- und Plasmaspendedienst Cottbus","03050","Cottbus","51.74184","14.32446"
"Institut für Transfusionsmedizin Blutbank Uniklinik Leipzig","04103","Leipzig","51.32928","12.39018"
"Haema Blutspendezentrum Leipzig-Markt","04109","Leipzig","51.34099","12.37357"
"Blutspende im Klinikum St. Georg Leipzig","04129","Leipzig","51.38272","12.37803"
"Haema Blutspendezentrum Leipzig-Gohlis","04155","Leipzig","51.36185","12.37074"
"Haema Blutspendezentrum Leipzig-Connewitz","04277","Leipzig","51.31177","12.3736"
"DRK-Blutspendedienst Leipzig","04317","Leipzig","51.33404","12.39289"
"Haema Blutspendezentrum Grimma","04668","Grimma","51.23795","12.72207"
"Haema Standort Torgau","04860","Torgau","51.55489","13.00452"
"Plasma Service Europe Halle","06108","Halle (Saale)","51.48199","11.96948"
"Blutspendedienst am Universitätsklinikum Halle","06120","Halle (Saale)","51.50198","11.93665"
"Haema Blutspendezentrum Halle (Saale)","06122","Halle (Saale)","51.48018","11.92037"
"Plasma Service Europe Merseburg","06217","Merseburg","51.35438","11.9942"
"DRK Kreisverband Quedlinburg/Halberstadt e.V.","06484","Quedlinburg","51.7892","11.15198"
"Octapharma Plasmaspende Dessau","06844","Dessau","51.83382","12.24436"
"Blutspendedienst DRK NSTOB Dessau","06847","Dessau","51.81449","12.1997"
"Haema Blutspendezentrum Gera","07545","Gera","50.87681","12.07975"
"Blutspendedienst DRK NSTOB Gera","07548","Gera","50.86875","12.05208"
"Haema Blutspendezentrum Jena","07743","Jena","50.92744","11.58195"
"Institut für Klinische Transfusionsmedizin Jena gGmbH","07743","Jena","50.9291","11.57929"
"Haema Blutspendezentrum Zwickau","08056","Zwickau","50.81789","12.53764"
"DRK-Blutspendedienst Zwickau","08060","Zwickau","50.70705","12.49611"
"Haema Blutspendezentrum Plauen","08523","Plauen","50.49449","12.13723"
"DRK-Blutspendedienst Plauen","08529","Plauen","50.49123","12.15548"
"Haema Blutspendezentrum Chemnitz","09111","Chemnitz","50.83191","12.9191"
"DRK-Blutspendedienst Chemnitz","09130","Chemnitz","50.83987","12.9634"
"Plasmavita Chemnitz","09247","Chemnitz","50.86444","12.86669"
"Plasmavita Annaberg-Buchholz","09456","Annaberg-Buchholz","50.5822","13.01098"
"Blutspendezentrale im Kreiskrankenhaus Freiberg","09599","Freiberg","50.92069","13.3516"
"Haema Blutspendezentrum Freiberg","09599","Freiberg","50.91148","13.34481"
"Blutspende an der Charité - Campus Mitte","10117","Berlin","52.52339","13.37793"
"Haema Blutspendezentrum Berlin-Prenzlauer Berg","10407","Berlin","52.52901","13.45666"
"Haema Blutspendezentrum Berlin-Charlottenburg","10627","Berlin","52.50835","13.30593"
"CSL Plasma Berlin","10969","Berlin","52.50794","13.39926"
"DRK-Blutspendedienst Berlin","12203","Berlin","52.44095","13.31676"
"Octapharma Plasmaspende Berlin-Köpenick","12559","Berlin-Köpenick","52.44144","13.58694"
"Haema Blutspendezentrum Berlin-Hellersdorf","12627","Berlin","52.53766","13.60582"
"Haema Blutspendezentrum Berlin-Marzahn","12689","Berlin","52.56899","13.56917"
"Blutspende am Campus Virchow-Klinikum Wedding","13353","Berlin","52.54228","13.34738"
"Haema Blutspendezentrum Berlin-Wedding","13357","Berlin","52.54942","13.38813"
"Haema Blutspendezentrum Berlin-Tegel","13507","Berlin","52.58389","13.28844"
"Octapharma Plasmaspende Berlin-Spandau","13587","Berlin","52.55764","13.20847"
"DRK-Blut- und Plasmaspendedienst Potsdam","14467","Potsdam","52.40118","13.06582"
"Octapharma Plasmaspende Potsdam","14473","Potsdam","52.39251","13.06646"
"Haema Blutspendezentrum Potsdam","14480","Potsdam","52.37135","13.13394"
"Haema Blutspendezentrum Brandenburg an der Havel","14776","Brandenburg an der Havel","52.40586","12.56759"
"DRK Blutspendedienst Nord-Ost","14943","Luckenwalde","52.08328","13.17812"
"Haema Blutspendezentrum Frankfurt (Oder)","15230","Frankfurt (Oder)","52.34354","14.55092"
"DRK-Blutspendedienst Frankfurt an der Oder","15230","Frankfurt (Oder)","52.34189","14.54649"
"DRK Kreisverband Märkisch-Oder-Havel-Spree e.V.","15890","Eisenhüttenstadt","52.14284","14.62205"
"DRK-Blutspendedienst Neuruppin","16816","Neuruppin","52.90616","12.79716"
"DRK-Blutspendedienst Neubrandenburg","17033","Neubrandenburg","53.55534","13.25937"
"DRK Kreisverband Uecker-Randow e.V.","17309","Pasewalk","53.5004","13.98777"
"Blut- und Plasmaspende der Universitätsmedizin Greifswald","17489","Greifswald","54.08808","13.40595"
"Plasma Service Europe Rostock","18055","Rostock","54.08828","12.13601"
"Blutspende der Universitätsmedizin Rostock","18057","Rostock","54.08902","12.10925"
"Haema Blutspendezentrum Rostock","18057","Rostock","54.08611","12.12475"
"DRK-Blutspendedienst Rostock","18059","Rostock","54.07116","12.1107"
"DRK Kreisverband Rügen-Stralsund e.V.","18528","Stralsund","54.32878","13.07846"
"DRK-Blutspendedienst Schwerin","19055","Schwerin","53.64598","11.40685"
"Haema Blutspendezentrum Schwerin","19055","Schwerin","53.6304","11.41507"
"DRK Kreisvrband Ludwigslust e.V.","19288","Ludwigslust","53.33097","11.49609"
"Blutspende am Campus Universität Hamburg","20146","Hamburg","53.56542","9.98479"
"Universitätsklinikum Hamburg-Eppendorf","20246","Hamburg","53.58911","9.97534"
"Blutspendedienst Hamburg-Harburg","21073","Hamburg","53.45863","9.9828"
"DRK Kreisverband Lüneburg e.V.","21339","Lüneburg","53.24662","10.38919"
"DRK Cuxhaven/Hadeln GmbH","21762","Otterndorf","53.81044","8.89801"
"Blutspendedienst Hamburg-Wandsbek","22041","Hamburg","53.57261","10.06648"
"Zentralinstitut für Transfusionsmedizin Hamburg","22089","Hamburg","53.57656","10.05649"
"Blutspendedienst Hamburg-Nord","22415","Hamburg","53.64969","10.01411"
"Blutspende Albertinen Haus Hamburg","22459","Hamburg","53.62753","9.92798"
"Blutspendedienst Hamburg Altona","22765","Hamburg","53.55301","9.93169"
"DRK-Blutspendedienst Lütjensee","22952","Lütjensee","53.6493","10.3651"
"Haema Blutspendezentrum Lübeck","23552","Lübeck","53.8652","10.6853"
"UKSH Blutspendezentrum Lübeck CITTI-Park","23556","Lübeck","53.85911","10.62784"
"DRK Kreisverband Herzogtum Lauenburg e.V.","23909","Ratzeburg","53.68894","10.77804"
"DRK Kresiverband Nordwestmecklenburg e.V.","23966","Wismar","53.8866","11.44445"
"Uni-Klinik Kiel","24113","Kiel","54.31225","10.09925"
"CSL Plasma Kiel","24114","Kiel","54.3088","10.12601"
"DRK-Blutspendedienst Schleswig","24837","Schleswig","54.51554","9.56373"
"Blutspende im DIAKO Krankenhaus","24939","Flensburg","54.79015","9.42531"
"DRK Kreisverband Dithmarschen","25746","Heide","54.19704","9.10855"
"DRK Kreisverband Nordfriesland e.V.","25813","Husum","54.49101","9.06988"
"Blutspendedienst DRK NSTOB Oldenburg","26133","Oldenburg","53.11136","8.21946"
"DRK Blutspendedienst NSTOB Rastede","26180","Rastede","53.24206","8.16373"
"DRK Kreisverband Emden e.V.","26725","Emden","53.36322","7.21238"
"CSL Plasma Bremen","28195","Bremen","53.08101","8.81576"
"Blutspendedienst DRK NSTOB Bremen","28205","Bremen","53.07392","8.84316"
"DRK Kreisverband Uelzen e.V.","29525","Uelzen","52.96651","10.56533"
"DRK Blutspendedienst NSTOB Bad Fallingbostel","29683","Bad Fallingbostel","52.85262","9.70671"
"Plasmaservice Europe Hannover","30159","Hannover","52.37562","9.73769"
"TMD Blut- und Plasmaspendezentrum Hannover","30159","Hannover","52.37484","9.736"
"MHH Blutspendedienst Hannover","30625","Hannover","52.38319","9.80729"
"DRK Kreisverband Nienburg/Wester e.V.","31582","Nienburg","52.64329","9.21747"
"Blutspendedienst Springe","31832","Springe","52.19429","9.56029"
"Uni. Blutspendedienst OWL","32049","Herford","52.12642","8.70045"
"DRK-Blutspendedienst Bad Salzuflen","32108","Bad Salzuflen","52.07428","8.76444"
"Uni. Blutspendedienst OWL","32257","Bünde","52.19775","8.59658"
"Uni.Blutspendedienst OWL","32423","Minden","52.28975","8.91882"
"Uni. Blutspendedienst OWL","32545","Bad Oeynhausen","52.19248","8.79446"
"TMD Blut- und Plasmaspendezentrum Paderborn","33098","Paderborn","51.7165","8.75898"
"CSL Plasma Bielefeld","33602","Bielefeld","52.02281","8.5337"
"Uni. Blutspendedienst OWL","33602","Bielefeld","52.02312","8.53103"
"Blutspendedienst Bethel Bielefeld","33617","Bielefeld","52.01346","8.52556"
"TMD Blut- und Plasmaspendezentrum Kassel","34117","Kassel","51.32048","9.50249"
"DRK-Blutspendedienst Kassel","34125","Kassel","51.32915","9.51029"
"Blutspende Marburg","35043","Marburg","50.81637","8.80565"
"Universitätsklinikum Gießen","35385","Gießen","50.5746","8.66371"
"TMD Blut- und Plasmaspendezentrum Gießen","35390","Gießen","50.58493","8.67158"
"Blutspendezentrale Wetzlar","35578","Wetzlar","50.53873","8.53091"
"DRK Kreisverband Fulda e.V.","36041","Fulda","50.54482","9.66475"
"DRK Kreisverband Hersfeld e.V.","36251","Bad Hersfeld","50.87827","9.71083"
"Blutspendedienst der Universitätsmedizin Göttingen – Blut für’s Klinikum","37073","Göttingen","51.53879","9.93395"
"CSL Plasma Göttingen","37073","Göttingen","51.53628","9.93485"
"Blutspendedienst der Universitätsmedizin Göttingen – Blut für’s Klinikum","37075","Göttingen","51.54993","9.94505"
"CSL Plasma Braunschweig","38100","Braunschweig","52.2625","10.52418"
"Blutspende im Klinikum Braunschweig","38114","Braunschweig","52.27496","10.5051"
"Klinikum Wolfsburg","38440","Wolfsburg","52.41341","10.7684"
"DRK Kreisverband Goslar","38644","Goslar","51.92221","10.41985"
"Plasmaservice Europe Magdeburg","39104","Magdeburg","52.13184","11.6379"
"Plasmavita Magdeburg","39104","Magdeburg","52.13095","11.63063"
"Uni-Blutbank Magdeburg","39120","Magdeburg","52.10142","11.62022"
"Blutspendezentrale im Universitätsklinikum Düsseldorf","40225","Düsseldorf","51.1986","6.78907"
"DRK-Blutspendedienst Breitscheid","40885","Ratingen","51.3548","6.86752"
"Octapharma Plasmaspende Mönchengladbach","41065","Mönchengladbach","51.19533","6.44685"
"Blutspendezentrum Wuppertal BZW","42103","Wuppertal-Elberfeld","51.25735","7.14421"
"Haema Blutspendezentrum Dortmund","44135","Dortmund","51.51438","7.4703"
"Blutspende Klinikum Dortmund","44137","Dortmund","51.50858","7.45486"
"DRK-Blutspendedienst Dortmund","44137","Dortmund","51.51423","7.45903"
"Plasmaservice Europe Dortmund","44137","Dortmund","51.5144","7.45821"
"Octapharma Plasmaspende Herne","44623","Herne","51.53672","7.22441"
"TMD Blut- und Plasmaspendezentrum Bochum","44787","Bochum","51.47947","7.22153"
"Ruhr-Plasma-Zentrum Bochum","44789","Bochum","51.47782","7.22466"
"Blutspende im Universitätsklinikum Essen","45122","Essen","51.4351","6.98878"
"DRK-Blutspendedienst Essen","45127","Essen","51.4536","7.01274"
"Haema Blutspendezentrum Essen","45127","Essen","51.45769","7.0133"
"Blutspendezentrum Gelsenkirchen BZG","45879","Gelsenkirchen","51.50762","7.09942"
"Blutspendezentrum Oberhausen BZO","46047","Oberhausen","51.48819","6.87944"
"Octapharma Plasmaspende Oberhausen","46049","Oberhausen","51.47494","6.84263"
"DRK Stadtverband Bocholt e.V.","46397","Bocholt","51.84107","6.62832"
"Blutspendezentrum Duisburg BZD","47051","Duisburg","51.43253","6.77172"
"Octapharma Plasmaspende Krefeld","47798","Krefeld","51.33239","6.56471"
"Blutspenden im Helios Klinikum Krefeld","47805","Krefeld","51.3211","6.56597"
"Blutspende am Universitätsklinikum Münster","48149","Münster","51.96077","7.59595"
"DRK Zentrum für Transfusionsmedizin Münster","48151","Münster","51.947","7.61233"
"DRK-Blutspendedienst Münster","48151","Münster","51.95982","7.62848"
"DRK OV Gronau und Epe e.V.","48599","Gronau","52.20637","7.04313"
"TMD Blut- und Plasmaspendezentrum Osnabrück","49074","Osnabrück","52.27286","8.05151"
"DRK Kreisverband Vechta e.V.","49377","Vechta","52.74686","8.28068"
"DRK OV Lingen e.V.","49809","Lingen","52.52841","7.33587"
"DRK-Blutspendedienst Köln","50667","Köln","50.93585","6.94949"
"Plasma Service Europe Köln","50674","Köln","50.93362","6.93999"
"Blutspendezentrale der Uniklinik Köln","50937","Köln","50.92403","6.91683"
"Blutspenden im Krankenhaus Merheim","51109","Köln","50.9395","7.05343"
"Octapharma Plasmaspende Aachen","52062","Aachen","50.77559","6.08878"
"Plasmaservice Europe Aachen","52062","Aachen","50.77136","6.0863"
"Blutspendedienst der Uniklinik RWTH Aachen","52074","Aachen","50.77691","6.04457"
"Haema Blutspendezentrum Bonn","53111","Bonn","50.73334","7.09738"
"Blutspendedienst des Uniklinikums Bonn (UKB)","53127","Bonn","50.70002","7.10464"
"DRK Ortsverein Hochwald e.V.","54413","Gusenburg","49.6363","6.90076"
"DRK Ortsverein Wittlich e.V.","54516","Wittlich","49.98606","6.89294"
"DRK Kreisverband Bitburg-Prüm e.V.","54634","Bitburg","49.96619","6.5231"
"Uniklinik Mainz","55131","Mainz","49.99329","8.26059"
"DRK Kreisverband Rhein-Hunsrück e.V.","55469","Simmern","49.98208","7.52148"
"DRK-Blutspendedienst Bad Kreuznach","55543","Bad Kreuznach","49.82471","7.84696"
"Octapharma Plasmaspende Koblenz","56068","Koblenz","50.35948","7.59366"
"DRK Kreisverband Rhein-Lahn e.V.","56130","Bad Ems","50.33565","7.70571"
"DRK Kreisverband Siegen-Wittgenstein e.V.","57076","Siegen","50.8916","8.02486"
"Octapharma Plasmaspende Hagen","58095","Hagen","51.35847","7.47216"
"DRK-Blutspendedienst Hagen","58097","Hagen","51.38047","7.48546"
"Haema Blutspendezentrum Hamm","59065","Hamm","51.68067","7.81286"
"CSL Plasma Frankfurt a. M.","60313","Frankfurt am Main","50.11548","8.68236"
"Plasmavita Frankfurt","60439","Frankfurt am Main","50.1587","8.63265"
"DRK-Blutspendedienst Frankfurt am Main","60528","Frankfurt am Main","50.09223","8.65414"
"TMD Blut- und Plasmaspendezentrum Darmstadt","64283","Darmstadt","49.87232","8.65475"
"Plasmavita Saarbrücken","66111","Saarbrücken","49.24065","6.98938"
"Blutspendezentrale Saarbrücken","66119","Saarbrücken","49.22063","6.99337"
"Blutspendedienst am Universitätsklinikum des Saarlandes Homburg","66421","Homburg/Saar","49.31213","7.3428"
"DRK Kreisverband Speyer e.V.","67346","Speyer","49.31234","8.44169"
"Blutspendezentrale Kaiserslautern","67655","Kaiserslautern","49.44142","7.75609"
"Plasmavita Mannheim","68159","Mannheim","49.4918","8.46973"
"Octapharma Plasmaspende Mannheim","68161","Mannheim","49.47873","8.47222"
"DRK-Blutspendedienst Mannheim","68167","Mannheim","49.50389","8.4972"
"Blutspendezentrale Heidelberg","69120","Heidelberg","49.4163","8.67082"
"Blutspende Klinikum Stuttgart","70174","Stuttgart","48.7841","9.17457"
"Plasmavita Stuttgart","70178","Stuttgart","48.7743","9.17141"
"Blutspendezentrale im ZKT Tübingen","72076","Tübingen","48.53074","9.04092"
"DRK Kreisverband Sigmaringen e.V.","72488","Sigmaringen","48.0916","9.21614"
"Blutbank der SLK-Kliniken Heilbronn","74078","Heilbronn","49.15334","9.19061"
"Blutspendezentrale im Diakonie-Klinikum Schwäbisch-Hall","74523","Schwäbisch Hall","49.12474","9.74245"
"DRK Kreisverband Pforzheim-Enzkreis e.V.","75177","Pforzheim","48.89555","8.70066"
"Blutspende Klinikum Karlsruhe","76133","Karlsruhe","49.01576","8.37468"
"DRK-Blutspendedienst Baden-Baden","76530","Baden-Baden","48.74382","8.24231"
"Blutspendezentrale an der Fürst-Stirum-Klinik Bruchsal","76646","Bruchsal","49.13173","8.60392"
"DRK Kreisverband Offenburg e.V.","77654","Offenburg","48.48009","7.95089"
"DRK Kreisverband Villingen-Schwenningen e.V.","78052","Villingen-Schwenningen","48.06339","8.49511"
