Studierende gesamt;weiblich;männlich;Deutsche;Ausländer/innen;1. Fachsemester;1. Hochschulsemester;year;term;semester
6645;4206;2439;5001;1644;1783;1110;2013;winter;2013-02
6346;3999;2347;4836;1510;567;199;2014;summer;2014-01
6492;4098;2394;4843;1649;1600;1020;2014;winter;2014-02
6100;3845;2255;4599;1501;557;224;2015;summer;2015-01
6501;4073;2428;4861;1640;1687;1043;2015;winter;2015-02
6258;3966;2292;4682;1576;613;240;2016;summer;2016-01
6647;4143;2504;4960;1687;1689;975;2016;winter;2016-02
6346;3958;2388;4733;1613;693;217;2017;summer;2017-01
6542;4018;2524;4931;1611;1662;973;2017;winter;2017-02
6372;3904;2468;4821;1551;810;273;2018;summer;2018-01
6461;3922;2539;4875;1586;1536;862;2018;winter;2018-02
6051;3663;2388;4523;1527;611;214;2019;summer;2019-01
6020;3607;2413;4413;1607;1353;795;2019;winter;2019-02
5409;3212;2197;4040;1369;405;78;2020;summer;2020-01
5586;3285;2301;4083;1503;1303;767;2020;winter;2020-02
5131;3037;2054;3698;1433;394;143;2021;summer;2021-01
5209;3045;2164;3682;1527;1138;672;2021;winter;2021-02
4851;2847;2004;3360;1491;403;189;2022;summer;2022-01
4797;2785;2012;3201;1596;915;606;2022;winter;2022-02
4366;2549;1817;2925;1441;317;159;2023;summer;2023-01
