semester_label;students;female;male;diverse;unspecified;german;foreign;first_subject;first_university;year;term;semester
Wintersemester 2019/20;6020;3607;2413;;;4413;1607;1353;795;2019;winter;2019-02
Sommersemester 2020;5409;3212;2197;;;4040;1369;405;78;2020;summer;2020-01
Wintersemester 2020/21;5586;3285;2301;;;4083;1503;1303;767;2020;winter;2020-02
Sommersemester 2021;5131;3037;2054;;;3698;1433;394;143;2021;summer;2021-01
Wintersemester 2021/22;5209;3045;2164;;;3682;1527;1138;672;2021;winter;2021-02
Sommersemester 2022;4851;2847;2004;;;3360;1491;403;189;2022;summer;2022-01
Wintersemester 2022/23;4797;2785;2012;;;3201;1596;915;606;2022;winter;2022-02
Sommersemester 2023;4366;2549;1817;;;2925;1441;317;159;2023;summer;2023-01
Wintersemester 2023/24;4242;2456;1786;;;2711;1531;847;599;2023;winter;2023-02
Sommersemester 2024;4039;2301;1738;;;2448;1591;481;319;2024;summer;2024-01
Wintersemester 2024/25;3933;2231;1691;7;4;2321;1612;743;543;2024;winter;2024-02
