"","Author","Title","Text"
"1","Ines VFrankfurt (Oder), Deutschland","Great museum","Thursday 2 of November, we went to discover the exhibition who take place in …, about “Berlin Global”. Right at the start the exhibition propose to not only focuses about a simple exhibition but also to participate by voting during the whole time of the exhibition. The votes can be count by a small bracelet that they give you. The idea of making everyone participate make the exhibition and the statistic at the end more realistic because everyone can be different not only physically or mentally but also in the way of seeing the environmental problems or the sense of community. Berlin Global was interesting because they didn’t put only one themes in the museum but a lot of important matters where exposed and explain so everybody could understand. Moreover, I really enjoyed walking in the museum with my classmates because at the same we were discovering an exhibition about a lot of subjects who makes understand the title Berlin Global, but I also talk with a lot of my classmates about the subjects we were looking at and sharing our opinions about what we were seeing was great. Or when we did some activities together because to make people participate the museum had the amazing idea to create some place in the exhibition where they are some activities. Also, after a few rooms there was a room where some important subjects like religion where explain in forms of comic and for each subject there was a colour who catches the eye attention in my opinion. Discovering about a lot of different culture but also about berlin history that maybe German people already know but for me I learn a lot of stuff about Berlin that I didn’t know.  There was a fun room where you enter in a room full of mirrors and you just take headphones and you listen to famous old songs, and it was so great because I really enjoy the music and I had the impression I was in a nightclub but just by retiring the headphones you can continue the museum visit like that. But I really enjoyed this room with my friends and making choose was hard sometimes.  There was also a sculpture that I loved is the one with a face and a hand with a TV and all around is screen and cameras everywhere and I related to that because I think it really represent the world now with all the social media in my opinion. To conclude, I will talk about this exhibition to my friends because I really enjoyed the subjects that they talked about and the way they talked about them by using not only text but also some sculptures, pictures, and activities."
"2","Mert A","Posititiv überrascht","You can see the global nature of Berlin's food culture alone. There is every cuisine here, and that too from the native people of the kitchens. All cultures live together here.I also liked this graffiti where the colonial past is portrayed in the form of beautiful arts. These colorful drawings not only give us a lesson of history but also carry a strong message of freedom within them.I would highly recommend this exhibition."
"3","Adèle P","Eine schöne und interessante Austellung","How is globality represented in ""Berlin Global""?Globality is represented everywhere in Berlin. The diversity is a very important thing in Berlin. Every year there is the Carnival of Cultures to celebrate the diversity. People of all the world come in Berlin to work or to study. Berlin is known as a place to be, everybody is welcoming. How is the colonial past depicted in Room 1 ""Weltdenken"" (large mural / graffiti)?In the room 1 you find a lot of graffities about the colonial past. The background is a map of the world. You find a soldier with a world map in one hand and in the second a map of Africa. It reminders that Germany had colonies there. You have also some graffities of the colonizers with weapons. The territory is represented like a cake in different pieces and the colonizers take parts as they want."
"4","Mariia B","Exhibition","The exhibition Berlin Global shows the city itself, its people ad their connection to the global world.The main topics were revolution, free space, boundaries, entertainment, war, fashion and interconnection. The first room was called Thinking of the world and the main there was a huge mural. It takes up events that tell of the subjection and development of the world. It took the artists How&Nosm three weeks to paint it. They represented four world views from the colonial division of the world to interconnection between man and nature and appropriation of cultural objects from other continents. In collage-like scenes, symbols can be discovered that stand for thinking of the world as commodity: clasped hands, broken chains and doves of peace. Artists tried to rise some questions in visitor’s minds. How do we want to live together in the world? How does this world affect us? How do we want to shape it?At the colonial part of the graffiti artists represented the portrait of Humboldt trough which they not only addressed a place where the exhibition took place, but also showed that even research traditions were closely linked to European and German colonialism. There were also painted African culture objects which are placed in European museums as a result of colonialism museum traditions. Locating this exhibition in a place which is reconstructed palace of Prussian colony also addressed special historical responsibility for the effects of colonial past. As such, colonialism influenced Berlin's relationships with the world both before 1884 and after 1919. The aftereffects of this ""colonial globality"" extend beyond formal decolonialisation in the mid-20th century and on into the present. They include economic and political inequality and dependency relationship between the global south and north. The colonial legacy also still shapes the thoughts and perceptions of many white Europeans. A striking example of this is the ongoing phenomenon of racism deriving in part from colonial mindsets of previous centuries."
"5","SimonKarlstad, Schweden","Educative and inspiring","It is a very interesting and interactive museum that inspires and educates on the topic of globality. Globality is something we as a species should strive to achieve but not without doing it with caution since what already is could be altered negatively. I think the museum gives great historical depictions of how globality has impacted Germany, giving the country a strong economy without running into issues that can't be fixed. The first room skillfully depicts our tendency to create barriers to protect what we have created, making it not fruitful for all impacted by the creation. Strongly recommend this museum!"
"6","David TBerlin, Deutschland","Berlin's past and present","It is my second time at Humboldt Forum after visiting another exhibition several weeks earlier.This one is fascinating because of the different style of displaying Berlin. I can say that I have never seen Berlin from another angle. Maybe I am not that old to know the whole history of Germany’s capital, or I have never been able to get to know Berlin better.Most of us know about the unpopular side of history of Germany, World War II and its aftermath.It has changed Germany completely, not only the history, but also the arts, socialite, economy and religion.The first room with graffiti has shown the colonial past of Germany. Because of industrialization, it needs more raw materials. And since the country did not have any resources, African countries were its targets and have been conquered by German troops. African people were killed and used in the German wars in the 19th century.With new resources, German science has been greatly improved and its arts, cultures and medicines.Berlin has now become the German melting pot, in which people of different world cultures come and live together. It is open to everyone.From the 20s century onwards, Berlin has adapted lots of the world’s culture, and it has created various kinds of subcultures e.g. swing, rock & roll, hippies, punk and hip-hop, dominating certain time-frames in the past. Due to that, the capital is known for subculture diversity and still attracts people from all over the world.Religion has played a big role not only in Berlin history but also in the German one. There was lots of state persecution of different religions and laws against them.After World War II, restrictions were lifted, so that emigrated people are coming back to Germany and new religions are implemented and welcomed.There are also some disadvantages going global, such as controlling people through cameras and via media and the cost of living, rent included, is climbing higher and higher each year due to the high immigration rate versus less living area. It has now climbed almost to the range of Hamburg, Bremen, and different cities situated in West Germany.The capital struggled because of the privatization of public living space, fewer apartments and buildings are built due to profit orientation of companies.Nevertheless, Berlin is still a hot and trending city to work and live in. But there are still rooms for improvement."
"7","Merve S","Overall good","The colonial past of Germany in the first room of the exhibition is represented by a couple graffities combined with a more detailed picture of an antique site of stone figures. The advanced weapons and brutality of their actions against the colonized people is depicted very clear and very graphic in the graffiti.Throughout the whole exhibition the globality and the intercultural connections is always referred to in one way or another, depending on the specific historical time displayed in the exhibition. When displaying holocaust survivors and victims personal belongings or the their personal history through their children and grandchildren the global connection and the influences and paths were also displayed and referred to.Even on more “modern” displays the globality and intercultural connections were always referred to by telling their life story’s their struggles or their experiences.Event through historical developments and events such as music genres and fashion trends the globality and diversity is displayed much clearer and actually gives the viewer a different perspective that wasn’t so clear to think about before. This way the globality that actually was always present but never much thought about is displayed.The display that had the most impact on me was the one with all the video cameras and how we actually give our personal information up so willingly but would not want to be filmed or supervised in such an obvious way"
"8","Valeriya T","Different perspectives","The exhibition Berlin Global shows us how the city is connected to the world through its history, social movements, culture and people. The exposition is divided into seven parts to help us going through various topics, such as Revolution, Free Space, Boundaries, Entertainment, War, Fashion and Interconnection.One of the most impressive things presented was the large graffiti presented in the first room on which the artists showed us not only that the oppression of people and nature continues to this day and the confrontation of past discoveries and current but touched on a topic such as the colonial past of Germany. By looking at the graffiti, we can see the world map and ships going on expeditions that led not only to the knowledge of the world but also to the assertion of their power, due to their enslavement of other people and seizure of resources. The exhibition is worth a visit!"
"9","W.S.","It was well-meant...","Berlin Global is one of those modern exhibitions that try very hard to be many things at the same time and end up being very little. The whole thing is an amalgamation of graffiti artwork, a collection of old posters, short info-videos about historic events, random ""artistic"" installations and lots of interactive games. There is no clear focus on anything, neither in terms of topics covered nor regarding the means by which they are displayed. As a result the experience becomes rather confusing. There is also a pretty obvious and shallow political angle to it. After the second room the message becomes clear. The colonial past is evil and modern globalization and diversity exclusively positive. If that is the type of thing you are looking for, then this is definitely the right place to go. If you however expect to actually learn something interesting about the Berlins global connections throughout history you will probably leave disappointed.  I mean I get it, you are very liberal at the Humboldt Forum  - that's fine  - but that is no excuse for not having any actual content.To be fair there are a few positives. The large mural in the first room is definitely a very nice and thought provoking piece of art about Germany's colonial past and the collection of historic election posters is also quite interesting. There is also a lot of interactive games. Unfortunately I was not able to figure out why. They are not meaningful in any way, more like: ""Turn this table and you will see a video."" For the younger audience that might be entertaining enough in itself I guess, but one wonders what these entirely pointless gimmicks are good for as there is definitely no educational benefit to it.If that were not enough, the exhibition tries to be even more interactive. Between every room there are two doors  - each with a different statement printed above it. If you walk through either your armband, that was given to you at the entrance, will register your choice. At the very end there is the possibility to print out your results and see some comparable statistics of what other people have chosen. While in theory this could be an interesting concept, it falls way short in practice. The armband doesn't register properly half of the time and even if they work the questions are somewhat puzzeling. You get to choose between statements like ""My city should be welcoming"" and ""My city should take care about it's citizens."" This is not just far to broad to be useful, it is also not clear why these things are treated as mutual exclusive, when they are in fact not. And so this exercise ends up as another pointless gimmick.Conclusion: Berlin Global clearly tries to be something  - I have no idea what to be honest  - and ends up being some odd potpourri of half baked ideas and good intentions. Two stars for artwork and poster collection... and for effort I guess."
"10","Saman H","Globality of Berlin Global","I personally enjoyed seeing Berlin Global once. Because I grew up in Berlin, I was very interested in the event and was able to understand and relate to a lot of it. Berlin global shows globality very well through things that make Berlin what it is. We find aspects like the second world war, the Berlin Wall, different cultures and the global problems of our world like climate change or social injustice. In addition, it is conveyed in Berlin style through graffiti in the first room, for example. The colonial past was well expressed in the first room by the graffiti wall. From the suffering of the Second World War to the post-war period to the multicultural Berlin of today, everything is included. This room 1 expresses freedom without end and gives you the feeling of ""Berlin""."
