year,gdp_usd
1970,8408486
1971,9116810
1972,9973652
1973,11607366
1974,15217532
1975,16691301
1976,18153647
1977,20210069
1978,22209370
1979,25545346
1980,26710653
1981,31020000
1982,34918000
1983,41749000
1984,45144000
1985,43879000
1986,55989000
1987,62983000
1988,70688000
1989,72798000
1990,78476000
1991,82507000
1992,91063000
1993,99461000
1994,108071000
1995,120230000
1996,110858000
1997,109884700
1998,112070100
1999,113352100
2000,114838500
2001,122406100
2002,131960000
2003,131128500
2004,132900000
2005,138000000
2006,143200000
2007,150500000
2008,146600000
2009,151200000
2010,161100000
2011,172300000
2012,180700000
2013,186400000
2014,186000000
2015,183700000
2016,201800000
2017,213700000
2018,220000000
2019,232900000
2020,241800000
2021,261245500
2022,258723500
2023,264000000
2024,285000000
2025,308000000
